Write down four words to describe how you're feeling about this course. Separate your four words by commas.,Write down one word to describe how *you* think the majority of your classmates are feeling.,Write down one word to describe how *you* think the instructors are feeling.
"Anticipation,excitement,satisfacton,good",excitement,excite
"Excited, Nervous, Happy, Motivated",Excited,Excited
"Nervous, Excited, Lost , Emotion4",Same,uncertain
excited，extraordinary，nervous，excited,nervous,happy
"excited, nervous, curious, useful",difficult,useful
"Curious, interested, unsure, motivated",Interested,Enthusiastic
"Interested, nervous, excited, different",Apprehensive,Excited
"mysterious, exciting, worrisome, impressive ",anxious ,exalted 
"new,nervous, curious,team",curious,excited
"uncertain,challengeable,curious,worried",uncertain,excited
"Scared, nervous, anxious, worried",Worried?,Don't know
"practice，group work, professional, analyzation",Data,Professional
"Scared, worrying, nervous, curious",worrying,excited
Unknown and confused course,Excited ,Good
"Anxious, excited, curious, challenging ",Nervous ,Excited 
"nervous, apprehensive, excited, eager",nervous,confident
"curious, worried, meaningful, excited",unsure,prepared
"completely, utterly, not, prepared",confident,breeze
"interested, nervous, excited, confused",Confused,Excited
"Exciting,good,surprising",Good,Exciting
"unknown,worried,anxious,hard",difficult,cool
"interested, nervous, excited, confused",Confused,Excited
nervous,nervous,excited
"anxious, optimistic, naive, unprepared",equal,optimistic
"Nervous, Anxious, Clueless, Intrigued ",Nervous,Excited
excited，extraordinary，nervous，excited,nervous,happy
"Complicated,useful,uneasy,tired",Hard,Enjoy
"interested, excited, ",neutral,excited
"Nervous, curious, expectant, excited ",Curious,Expectant 
nervous,nervous,excited to deliver
Excited but scared,Pressured,Excited
Practical; useful; different; fresh,useful,practical
"excited, nervous, anxious, curious",curious,excited
"Excited, Curious, Interested, Motivated",Interested,Excited
"hopeful, nervous, unprepared, ambitious",ready,equipped
"nervous, excited, hectic, heavyload",anxious,eager 
Excited！,"To be honest, I don't know.",Excited.
